#Scan#	Adduct	CAS_Number	Charge	Compound_Name	Compound_Source	Data_Collector	ExactMass	FileScanUniqueID	INCHI	INCHI_AUX	Instrument	IonMode	Ion_Source	LibMZ	LibraryName	LibraryQualityString	Library_Class	MQScore	MZErrorPPM	MassDiff	NumberHits	Organism	PI	Precursor_MZ	Pubmed_ID	RT_Query	SharedPeaks	Smiles	SpecCharge	SpecMZ	SpectrumFile	SpectrumID	TIC_Query	UpdateWorkflowName	tags	internalFilename
35	M-H-C6H7O3N	26787780	1	Amoxicillin	Isolated	NIST	0.0	spectra/specs_ms.mgf35	InChI=1S/C16H19N3O5S/c1-16(2)11(15(23)24)19-13(22)10(14(19)25-16)18-12(21)9(17)7-3-5-8(20)6-4-7/h3-6,9-11,14,20H,17H2,1-2H3,(H,18,21)(H,23,24)/t9?,10-,11+,14-/m1/s1	N/A	HCD	Negative	ESI	223.055	lib-00033.mgf	Bronze	3	0.997565	1.77862	0.000396729	1	NIST17	NIST	223.055	N/A	0	10	CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C	-1	223.054	specs_ms.mgf	CCMSLIB00003474340	1.777e+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
477	M-H	15686-71-2	1	Cephalexin - Dark Web Drugs	Other	A. Jarmusch	0.0	spectra/specs_ms.mgf477	InChI=1S/C16H17N3O4S/c1-8-7-24-15-11(14(21)19(15)12(8)16(22)23)18-13(20)10(17)9-5-3-2-4-6-9/h2-6,10-11,15H,7,17H2,1H3,(H,18,20)(H,22,23)/t10-,11-,15-/m1/s1	N/A	Orbitrap	Negative	ESI	346.087	lib-00013.mgf	Bronze	3	0.994513	0.264537	9.15527e-05	1	GNPS-LIBRARY	Dorrestein	346.087	N/A	0	15	CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=CC=C3)N)SC1)C(=O)O	-1	346.087	specs_ms.mgf	CCMSLIB00005434464	5.816e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
568	2M-H	15686-71-2	1	Cephalexin - Dark Web Drugs	Other	A. Jarmusch	0.0	spectra/specs_ms.mgf568	InChI=1S/C16H17N3O4S/c1-8-7-24-15-11(14(21)19(15)12(8)16(22)23)18-13(20)10(17)9-5-3-2-4-6-9/h2-6,10-11,15H,7,17H2,1H3,(H,18,20)(H,22,23)/t10-,11-,15-/m1/s1	N/A	Orbitrap	Negative	ESI	693.182	lib-00013.mgf	Bronze	3	0.991469	2.64152	0.00183105	1	GNPS-LIBRARY	Dorrestein	693.182	N/A	0	16	CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=CC=C3)N)SC1)C(=O)O	-1	693.18	specs_ms.mgf	CCMSLIB00005434465	3.0969e+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
1137	M-H	64044-51-5	-1	LACTOSE	Commercial	Kelly Weldon	342.116	spectra/specs_ms.mgf1137	"InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5+,6+,7-,8-,9-,10-,11+,12+/m1/s1"	N/A	Orbitrap	Negative	ESI	341.109	lib-00015.mgf	Gold	1	0.978019	1.16305	0.000396729	1	GNPS-MSMLS	Dorrestein	341.109	N/A	0	10	OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O	-1	341.109	specs_ms.mgf	CCMSLIB00005464531	1.4932e+06	UPDATE-SINGLE-ANNOTATED-GOLD	 	specs_ms.mgf
22	M-H-C6H10O3N2	26787780	1	Amoxicillin	Isolated	NIST	0.0	spectra/specs_ms.mgf22	InChI=1S/C16H19N3O5S/c1-16(2)11(15(23)24)19-13(22)10(14(19)25-16)18-12(21)9(17)7-3-5-8(20)6-4-7/h3-6,9-11,14,20H,17H2,1-2H3,(H,18,21)(H,23,24)/t9?,10-,11+,14-/m1/s1	N/A	HCD	Negative	ESI	206.028	lib-00033.mgf	Bronze	3	0.975133	1.99967	0.000411987	1	NIST17	NIST	206.028	N/A	0	9	CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C	-1	206.028	specs_ms.mgf	CCMSLIB00003474360	1.808e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
1025	2M-H	139755-83-2	1	Sildenafil - Dark Web Drugs	Other	A. Jarmusch	0.0	spectra/specs_ms.mgf1025	InChI=1S/C22H30N6O4S/c1-5-7-17-19-20(27(4)25-17)22(29)24-21(23-19)16-14-15(8-9-18(16)32-6-2)33(30,31)28-12-10-26(3)11-13-28/h8-9,14H,5-7,10-13H2,1-4H3,(H,23,24,29)	N/A	Orbitrap	Negative	ESI	969.385	lib-00013.mgf	Bronze	3	0.971842	3.58888	0.003479	1	GNPS-LIBRARY	Dorrestein	969.385	N/A	0	8	CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C	-1	969.388	specs_ms.mgf	CCMSLIB00005434456	1.5681e+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
250	2M-H	26787-78-0	1	Amoxicilin - Dark Web Drugs	Other	A. Lu	0.0	spectra/specs_ms.mgf250	InChI=1S/C16H19N3O5S/c1-16(2)11(15(23)24)19-13(22)10(14(19)25-16)18-12(21)9(17)7-3-5-8(20)6-4-7/h3-6,9-11,14,20H,17H2,1-2H3,(H,18,21)(H,23,24)/t9-,10-,11+,14-/m1/s1	N/A	Orbitrap	Negative	ESI	729.203	lib-00013.mgf	Bronze	3	0.966806	4.10136	0.00299072	1	GNPS-LIBRARY	Dorrestein	729.203	N/A	0	11	CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C	-1	729.2	specs_ms.mgf	CCMSLIB00005434449	6.548e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
372	M-H-C5H7NO2	15686712	1	Cephalexin	Isolated	NIST	0.0	spectra/specs_ms.mgf372	InChI=1S/C16H17N3O4S/c1-8-7-24-15-11(14(21)19(15)12(8)16(22)23)18-13(20)10(17)9-5-3-2-4-6-9/h2-6,10-11,15H,7,17H2,1H3,(H,18,20)(H,22,23)/t10-,11-,15-/m1/s1	N/A	HCD	Negative	ESI	233.039	lib-00033.mgf	Bronze	3	0.963336	0.851206	0.000198364	1	NIST17	NIST	233.039	N/A	0	11	CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=CC=C3)[NH3+])SC1)C(=O)[O-]	-1	233.039	specs_ms.mgf	CCMSLIB00003719969	7.55e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
253	M+Na-2H	26787-78-0	1	Amoxicilin - Dark Web Drugs	Other	A. Lu	0.0	spectra/specs_ms.mgf253	InChI=1S/C16H19N3O5S/c1-16(2)11(15(23)24)19-13(22)10(14(19)25-16)18-12(21)9(17)7-3-5-8(20)6-4-7/h3-6,9-11,14,20H,17H2,1-2H3,(H,18,21)(H,23,24)/t9-,10-,11+,14-/m1/s1	N/A	Orbitrap	Negative	ESI	751.185	lib-00013.mgf	Bronze	3	0.953793	3.81884	0.00286865	1	GNPS-LIBRARY	Dorrestein	751.185	N/A	0	13	CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C	-1	751.182	specs_ms.mgf	CCMSLIB00005434450	7.296e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
148	M-H	26787-78-0	1	Amoxicilin - Dark Web Drugs	Other	A. Lu	0.0	spectra/specs_ms.mgf148	InChI=1S/C16H19N3O5S/c1-16(2)11(15(23)24)19-13(22)10(14(19)25-16)18-12(21)9(17)7-3-5-8(20)6-4-7/h3-6,9-11,14,20H,17H2,1-2H3,(H,18,21)(H,23,24)/t9-,10-,11+,14-/m1/s1	N/A	Orbitrap	Negative	ESI	364.098	lib-00013.mgf	Bronze	3	0.943943	1.67634	0.000610352	1	GNPS-LIBRARY	Dorrestein	364.098	N/A	0	6	CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C	-1	364.099	specs_ms.mgf	CCMSLIB00005434448	984000	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
